,_links,awayTeamName,date,homeTeamName,matchday,odds,result,status,real_timestamp,weekday,startingHour,goalsAwayTeam,goalsHomeTeam,halfTime,outcome
0,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153596'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/667'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/684'}}",PEC Zwolle,2016-08-05T18:00:00Z,NEC Nijmegen,1,"{'homeWin': 2.15, 'draw': 3.4, 'awayWin': 2.8}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}}",FINISHED,2016-08-05 18:00:00,4,18,1,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",3
1,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153595'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/680'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/718'}}",Go Ahead Eagles Deventer,2016-08-06T16:30:00Z,ADO Den Haag,1,"{'homeWin': 1.53, 'draw': 3.75, 'awayWin': 5.0}","{'goalsHomeTeam': 3, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2016-08-06 16:30:00,5,16,0,3,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
2,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153593'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/666'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/670'}}",Excelsior,2016-08-06T17:45:00Z,FC Twente Enschede,1,"{'homeWin': 1.66, 'draw': 3.6, 'awayWin': 4.2}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}}",FINISHED,2016-08-06 17:45:00,5,17,2,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2
3,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153594'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/676'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/674'}}",PSV Eindhoven,2016-08-06T17:45:00Z,FC Utrecht,1,"{'homeWin': 3.5, 'draw': 3.5, 'awayWin': 1.83}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2016-08-06 17:45:00,5,17,2,1,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",2
4,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153592'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/672'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/679'}}",Vitesse Arnhem,2016-08-06T18:45:00Z,Willem II Tilburg,1,,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 4, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 4}}",FINISHED,2016-08-06 18:45:00,5,18,4,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 4}",2
5,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153591'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/677'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/675'}}",Feyenoord Rotterdam,2016-08-07T10:30:00Z,FC Groningen,1,"{'homeWin': 3.1, 'draw': 3.3, 'awayWin': 2.0}","{'goalsHomeTeam': 0, 'goalsAwayTeam': 5, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 3}}",FINISHED,2016-08-07 10:30:00,6,10,5,0,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 3}",2
6,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153590'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/682'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/673'}}",SC Heerenveen,2016-08-07T12:30:00Z,AZ Alkmaar,1,"{'homeWin': 1.57, 'draw': 3.9, 'awayWin': 4.5}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",FINISHED,2016-08-07 12:30:00,6,12,2,2,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",3
7,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153630'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/1085'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/678'}}",Ajax Amsterdam,2016-08-07T12:30:00Z,Sparta Rotterdam,1,"{'homeWin': 7.0, 'draw': 4.4, 'awayWin': 1.35}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 3, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",FINISHED,2016-08-07 12:30:00,6,12,3,1,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",2
8,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153589'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/665'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/671'}}",Heracles Almelo,2016-08-07T14:45:00Z,Roda JC Kerkrade,1,"{'homeWin': 2.3, 'draw': 3.3, 'awayWin': 3.1}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}}",FINISHED,2016-08-07 14:45:00,6,14,1,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",3
9,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153588'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/673'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/676'}}",FC Utrecht,2016-08-12T18:00:00Z,SC Heerenveen,2,,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 2}}",FINISHED,2016-08-12 18:00:00,4,18,2,2,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 2}",3
